ssn,acct_no,acct_cd,prft,balance_amt
7802221111111,22033,130,504,"56,746"
8307153333444,54412,110,585,"23,540"
5605099999222,65433,340,213,"987,800"
8012301111333,58721,320,780,"310,000"
6711032222111,23422,120,5679,3
8910103333222,89811,310,240,"40,011"
7802221111111,78022,100,899,"4,565,000"
6711032222111,35714,300,3780,"2,545,640"
8910103333222,68740,310,233,"522,312"
5605099999222,96870,330,7000,"2,158"
7802221111111,89770,140,1000,"566,600"
6711032222111,33270,130,5600,"68,770"
7802221111111,87890,340,1270,"5,500,000"
